Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
NDOVU NGANO 1KG,PR-11,code128,Guess,101,pkt,pkt,dozen,90,100,20,No Tax,exclusive,no_image.png,,Red|Blue|Black|White,CF1,CF2,CF3,CF4,CF5,CF6
NDOVU NGANO  2KG,,,,,,,,,,,,,,,,,,,,,
NDOVU UGALI  1KG,,,,,,,,,,,,,,,,,,,,,
NDOVU UGALI  2KG,,,,,,,,,,,,,,,,,,,,,
PEMBE NGANO 1KG,,,,,,,,,,,,,,,,,,,,,
PEMBE NGANO 2KG,,,,,,,,,,,,,,,,,,,,,
PEMBE UGALI  1KG,,,,,,,,,,,,,,,,,,,,,
PEMBE UGALI  2KG,,,,,,,,,,,,,,,,,,,,,
EXE ALL PURPOSE  2KG,,,,,,,,,,,,,,,,,,,,,
EXE ALL PURPOSE  1KG,,,,,,,,,,,,,,,,,,,,,
EXE H/B   2KG,,,,,,,,,,,,,,,,,,,,,
EXE MANDAZI  2KG,,,,,,,,,,,,,,,,,,,,,
EXE MANDAZI  1KG,,,,,,,,,,,,,,,,,,,,,
EXE SELF-RAISING  2KG,,,,,,,,,,,,,,,,,,,,,
EXE SELF-RAISING  1KG,,,,,,,,,,,,,,,,,,,,,
SOKO UGALI  1KG,,,,,,,,,,,,,,,,,,,,,
SOKO UGALI  2KG,,,,,,,,,,,,,,,,,,,,,
SOKO UGALI   BAG,,,,,,,,,,,,,,,,,,,,,
SOKO UGALI  10KG BAG,,,,,,,,,,,,,,,,,,,,,
MAMA MAIZE MEAL 2KG,,,,,,,,,,,,,,,,,,,,,
MAMA MAIZE MEAL 1KG,,,,,,,,,,,,,,,,,,,,,
NYUMBANI UNGA  2KG,,,,,,,,,,,,,,,,,,,,,
NYUMBANI UNGA  2KG,,,,,,,,,,,,,,,,,,,,,
