Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,
NDOVU NGANO 1KG,1004,code128,,102,kg,kg,kg,62,66,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
NDOVU NGANO  2KG,1005,code128,,102,kg,kg,kg,125,132,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
NDOVU UGALI  1KG,1011,code128,,102,kg,kg,kg,44,60,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
NDOVU UGALI  2KG,1012,code128,,102,kg,kg,kg,86,100,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
PEMBE NGANO 1KG,1017,code128,,102,kg,kg,kg,63,70,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
PEMBE NGANO 2KG,1018,code128,,102,kg,kg,kg,118,132,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
PEMBE UGALI  1KG,1023,code128,,102,kg,kg,kg,50,60,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
PEMBE UGALI  2KG,1024,code128,,102,kg,kg,kg,50,60,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
EXE ALL PURPOSE  2KG,1025,code128,,102,kg,kg,kg,130,156,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
EXE ALL PURPOSE  1KG,1026,code128,,102,kg,kg,kg,130,133,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
EXE H/B   2KG,1028,code128,,102,kg,kg,kg,125,150,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
EXE MANDAZI  2KG,1031,code128,,102,kg,kg,kg,133,160,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
EXE MANDAZI  1KG,1032,code128,,102,kg,kg,kg,133,137,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
EXE SELF-RAISING  2KG,1034,code128,,102,kg,kg,kg,142,170,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
EXE SELF-RAISING  1KG,1035,code128,,102,kg,kg,kg,142,144,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
SOKO UGALI  1KG,1041,code128,,102,kg,kg,kg,44,52,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
SOKO UGALI  2KG,1042,code128,,102,kg,kg,kg,85,103,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
SOKO UGALI   BAG,1043,code128,,102,kg,kg,kg,220,230,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
